gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,DeviceProtection,StreamingTV,StreamingMovies,Contract,PaymentMethod,Churn
Male,0,Yes,Yes,72,No,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),No
Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),No
Male,0,Yes,Yes,64,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,Bank transfer (automatic),No
Male,1,Yes,No,20,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Female,0,No,No,3,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,No,No,22,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Credit card (automatic),Yes
Male,0,Yes,No,4,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Mailed check,Yes
Male,0,Yes,No,62,No,DSL,No,No,Yes,No,Two year,Bank transfer (automatic),No
Female,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Male,0,Yes,No,59,Yes,Fiber optic,No,No,No,Yes,One year,Electronic check,Yes
Male,0,No,Yes,3,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,No
Female,0,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),No
Male,0,Yes,Yes,57,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Credit card (automatic),No
Male,0,No,Yes,66,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Female,0,No,No,60,No,DSL,No,No,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,No,Yes,45,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Female,0,No,No,3,No,DSL,No,No,Yes,No,Month-to-month,Credit card (automatic),No
Female,0,No,No,15,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Female,0,No,Yes,51,No,DSL,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),No
Female,0,No,No,60,Yes,DSL,Yes,Yes,No,No,One year,Electronic check,No
Male,0,No,No,33,Yes,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,0,No,No,10,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Male,1,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),No
Female,0,No,No,6,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,Yes
Female,0,Yes,No,67,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Electronic check,No
Female,0,Yes,Yes,49,No,DSL,Yes,No,No,No,One year,Credit card (automatic),No
Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,1,No,No,7,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,No
Female,1,No,No,27,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),No
Male,0,Yes,Yes,37,Yes,Fiber optic,No,No,Yes,Yes,One year,Credit card (automatic),No
Female,0,Yes,Yes,63,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Electronic check,Yes
Male,0,Yes,Yes,31,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,No
Male,0,Yes,Yes,50,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Male,1,No,No,32,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),No
Female,0,No,No,1,No,DSL,No,No,No,No,Month-to-month,Electronic check,Yes
Female,0,Yes,No,63,Yes,Fiber optic,No,No,No,No,One year,Credit card (automatic),No
Male,0,No,No,30,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Credit card (automatic),No
Male,0,Yes,No,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Female,0,No,No,53,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Electronic check,No
Female,0,No,No,12,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Male,0,Yes,No,50,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Credit card (automatic),No
Female,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,0,No,No,9,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),Yes
Male,0,No,No,17,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Electronic check,Yes
Female,0,Yes,No,56,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Credit card (automatic),No
Male,0,Yes,Yes,67,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),No
Male,1,No,No,9,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,No,No,4,Yes,DSL,No,No,Yes,No,Month-to-month,Electronic check,No
Male,0,No,No,19,Yes,DSL,No,No,No,Yes,One year,Bank transfer (automatic),No
Female,0,No,Yes,8,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,0,No,No,71,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Electronic check,No
Male,1,No,No,10,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Female,1,No,No,15,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Credit card (automatic),No
Male,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),No
Male,0,No,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),No
Male,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Male,1,Yes,No,1,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Female,1,No,No,23,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,0,No,No,72,No,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Female,0,No,No,26,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,No
Female,0,No,No,21,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Mailed check,No
Male,0,Yes,No,60,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),No
Male,0,No,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Male,0,Yes,No,16,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,No
Female,0,Yes,No,63,Yes,DSL,Yes,No,Yes,Yes,One year,Credit card (automatic),No
Female,1,No,No,22,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,No
Female,0,Yes,Yes,32,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),No
Female,1,No,No,3,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Female,0,No,No,13,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,Yes
Female,0,Yes,Yes,68,Yes,Fiber optic,No,No,Yes,Yes,Two year,Credit card (automatic),No
Female,0,Yes,Yes,30,Yes,Fiber optic,No,Yes,No,Yes,One year,Electronic check,No
Female,0,No,No,16,Yes,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,0,No,No,33,Yes,Fiber optic,No,No,No,No,Two year,Bank transfer (automatic),No
Male,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Female,1,No,No,4,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,Yes
Female,0,No,No,12,No,DSL,Yes,No,No,No,One year,Mailed check,No
Female,1,Yes,No,4,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,No
Female,0,Yes,Yes,0,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Mailed check,No
Female,0,No,No,6,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,Yes
Female,0,Yes,No,65,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Credit card (automatic),No
Female,0,No,No,15,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,0,No,Yes,24,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),No
Female,0,No,Yes,13,No,DSL,No,No,No,No,Month-to-month,Electronic check,No
Male,0,No,No,24,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Credit card (automatic),No
Female,0,Yes,No,72,No,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Female,0,Yes,Yes,54,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),No
Female,0,No,No,3,Yes,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),Yes
Male,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,1,Yes,Yes,32,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Mailed check,No
Male,1,No,No,35,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,Yes,Yes,35,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Male,1,No,No,2,Yes,DSL,No,No,No,No,Month-to-month,Mailed check,Yes
Female,0,No,No,8,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,No
Male,0,No,No,22,Yes,DSL,Yes,No,No,No,Month-to-month,Mailed check,No
Female,0,No,No,15,Yes,DSL,Yes,Yes,No,No,Month-to-month,Electronic check,No
Male,0,No,No,22,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,No
Male,0,Yes,No,1,Yes,DSL,No,No,No,No,Month-to-month,Credit card (automatic),Yes
Female,0,Yes,Yes,71,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Male,0,No,No,4,Yes,DSL,Yes,Yes,No,No,Month-to-month,Electronic check,No
Male,0,No,No,25,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),No
Female,0,Yes,Yes,32,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,No
Male,1,Yes,No,7,No,DSL,Yes,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,0,No,No,17,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,No
Male,1,Yes,No,8,Yes,DSL,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),No
Female,1,No,No,56,Yes,DSL,Yes,Yes,No,Yes,Two year,Bank transfer (automatic),No
Male,0,No,No,1,Yes,DSL,No,No,No,No,Month-to-month,Mailed check,Yes
Male,1,No,No,8,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Credit card (automatic),Yes
Male,0,No,No,7,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,Yes
Male,0,No,Yes,3,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,0,No,No,71,Yes,DSL,Yes,Yes,Yes,No,Two year,Credit card (automatic),No
Female,0,No,No,2,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,Yes
Female,0,No,No,1,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,Yes,No,49,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),No
Male,0,No,No,58,Yes,DSL,No,Yes,Yes,No,Two year,Bank transfer (automatic),No
Male,1,Yes,No,44,No,DSL,No,No,No,No,Month-to-month,Electronic check,Yes
Female,0,Yes,Yes,59,Yes,DSL,No,No,Yes,Yes,Two year,Credit card (automatic),No
Male,0,No,No,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Electronic check,Yes
Male,0,No,No,1,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Female,0,No,No,11,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,No
Male,1,Yes,No,62,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Electronic check,Yes
Female,0,Yes,Yes,35,Yes,DSL,Yes,No,No,No,One year,Bank transfer (automatic),No
Female,0,No,No,20,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),No
Male,0,Yes,Yes,40,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,No
Female,0,No,No,39,Yes,DSL,Yes,No,No,No,One year,Electronic check,No
Male,0,No,No,1,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,Yes
Female,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Female,1,Yes,No,33,Yes,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),Yes
Female,0,No,No,12,Yes,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),No
Male,0,No,Yes,27,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Male,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),No
Female,0,Yes,No,56,Yes,Fiber optic,Yes,Yes,No,No,Two year,Bank transfer (automatic),No
Female,0,No,No,58,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Female,0,Yes,Yes,22,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Female,0,Yes,Yes,10,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Male,0,No,No,13,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Female,0,No,No,35,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),Yes
Female,0,No,No,34,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),Yes
Female,1,No,No,4,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Male,0,No,No,2,Yes,DSL,No,No,Yes,Yes,Month-to-month,Electronic check,No
Female,0,No,No,7,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Male,1,Yes,No,27,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Male,0,Yes,Yes,4,Yes,Fiber optic,No,No,No,No,Month-to-month,Mailed check,No
Female,0,No,No,37,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,No
Male,0,No,No,21,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,1,Yes,No,53,Yes,Fiber optic,No,No,Yes,Yes,One year,Credit card (automatic),No
Female,0,No,No,18,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,Yes
Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Male,0,Yes,Yes,32,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Credit card (automatic),Yes
Male,1,Yes,No,23,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,No
Male,0,No,No,3,Yes,DSL,Yes,No,No,No,Month-to-month,Mailed check,No
Female,0,Yes,Yes,71,No,DSL,Yes,No,Yes,Yes,Two year,Mailed check,No
Male,0,No,No,9,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),No
Female,0,No,No,1,Yes,DSL,No,No,No,No,Month-to-month,Electronic check,No
Male,0,Yes,Yes,18,Yes,DSL,No,Yes,No,Yes,Month-to-month,Electronic check,Yes
Male,0,Yes,Yes,12,Yes,DSL,No,No,No,Yes,One year,Credit card (automatic),Yes
Male,0,Yes,No,71,Yes,DSL,Yes,Yes,No,Yes,Two year,Mailed check,No
Female,0,No,No,64,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),No
Male,0,No,No,4,No,DSL,No,No,No,Yes,Month-to-month,Electronic check,No
Female,0,No,No,23,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,0,Yes,Yes,39,Yes,DSL,Yes,No,No,No,Month-to-month,Credit card (automatic),No
Male,0,Yes,No,28,Yes,DSL,Yes,No,No,No,One year,Mailed check,No
Female,1,No,No,5,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,No
Female,1,Yes,No,45,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,No
Male,0,No,No,37,Yes,Fiber optic,No,No,No,No,Month-to-month,Mailed check,No
Female,1,Yes,No,60,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Male,1,No,No,8,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Female,0,No,No,47,Yes,Fiber optic,Yes,Yes,Yes,No,One year,Credit card (automatic),No
Male,0,Yes,Yes,26,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,Yes
Female,1,Yes,Yes,3,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Mailed check,Yes
Female,0,Yes,Yes,50,Yes,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,0,Yes,Yes,27,Yes,DSL,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),No
Female,1,No,No,8,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Female,0,Yes,No,62,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Female,0,Yes,No,71,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Male,0,No,No,66,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,No
Male,0,Yes,Yes,68,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Female,0,No,No,13,No,DSL,No,Yes,Yes,Yes,Month-to-month,Electronic check,No
Male,0,Yes,No,56,Yes,Fiber optic,No,No,No,Yes,One year,Electronic check,No
Male,0,Yes,No,38,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,Yes
Male,1,No,No,14,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Credit card (automatic),Yes
Female,0,No,Yes,16,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),No
Female,0,Yes,Yes,14,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,No
Male,0,Yes,Yes,32,Yes,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),Yes
Female,0,No,No,8,Yes,DSL,Yes,No,No,No,One year,Bank transfer (automatic),No
Female,0,Yes,Yes,43,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),No
Female,0,No,No,52,Yes,DSL,Yes,Yes,Yes,No,One year,Credit card (automatic),No
Male,0,No,No,3,Yes,DSL,No,No,No,No,Month-to-month,Mailed check,No
Male,0,No,No,29,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,No
Female,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,Yes
Male,1,No,No,12,No,DSL,No,Yes,No,Yes,Month-to-month,Electronic check,Yes
Female,0,Yes,Yes,16,No,DSL,No,No,No,Yes,Month-to-month,Credit card (automatic),No
Female,0,No,No,40,Yes,DSL,No,Yes,Yes,Yes,One year,Mailed check,No
Female,0,No,No,5,No,DSL,No,Yes,No,Yes,Month-to-month,Electronic check,Yes
Male,0,Yes,No,40,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Female,0,No,No,36,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,No
Female,0,No,No,5,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,Yes
Female,0,No,No,10,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Mailed check,Yes
Male,0,Yes,Yes,2,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Male,0,No,No,23,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,Yes
Male,0,Yes,Yes,26,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),No
Female,1,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Electronic check,No
Female,0,Yes,No,34,Yes,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,0,No,No,10,Yes,DSL,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),No
Female,0,No,No,14,Yes,DSL,Yes,No,No,No,One year,Mailed check,No
Female,0,No,No,23,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),Yes
Male,0,Yes,No,47,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,No
Male,0,Yes,No,24,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Electronic check,No
Male,0,Yes,No,49,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Male,1,No,No,20,Yes,DSL,Yes,No,No,No,One year,Mailed check,No
Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),Yes
Female,0,No,No,2,Yes,DSL,No,No,No,No,Month-to-month,Credit card (automatic),Yes
Male,0,No,No,22,No,DSL,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Male,0,No,No,7,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,No
Female,0,Yes,Yes,59,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Bank transfer (automatic),No
Female,0,Yes,Yes,58,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),No
Female,0,No,No,41,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Female,1,No,No,59,Yes,Fiber optic,No,No,No,No,Two year,Credit card (automatic),No
Female,0,Yes,Yes,3,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,No
Male,0,No,No,32,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Male,1,Yes,No,46,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,No
Male,0,Yes,Yes,0,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,No
Male,0,No,No,2,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,Yes
Female,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),No
Female,1,No,No,13,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,Yes
Female,1,No,No,11,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Male,0,No,No,32,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,1,Yes,No,17,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),Yes
Female,0,No,No,16,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),No
Female,0,No,No,51,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),No
Male,0,No,No,29,Yes,DSL,No,Yes,Yes,Yes,One year,Bank transfer (automatic),No
Male,0,Yes,No,70,Yes,DSL,Yes,Yes,No,No,Two year,Credit card (automatic),No
Female,0,Yes,Yes,71,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,Electronic check,No
Male,0,Yes,Yes,41,Yes,DSL,No,Yes,Yes,No,One year,Bank transfer (automatic),No
Male,0,No,No,1,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,No
Female,0,Yes,No,7,Yes,DSL,Yes,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),No
Male,0,Yes,Yes,25,Yes,Fiber optic,No,No,Yes,Yes,One year,Electronic check,Yes
Male,0,Yes,Yes,67,Yes,Fiber optic,Yes,No,No,No,One year,Electronic check,No
Male,0,Yes,Yes,5,Yes,DSL,No,No,No,No,Month-to-month,Mailed check,No
Male,0,No,Yes,15,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,No
Female,0,Yes,Yes,20,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,No
Male,0,Yes,Yes,3,Yes,DSL,No,Yes,No,No,Month-to-month,Mailed check,Yes
Male,0,Yes,Yes,54,Yes,Fiber optic,No,No,Yes,Yes,One year,Electronic check,No
Male,0,No,No,42,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,No
Female,0,Yes,No,9,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,No
Female,0,No,No,63,Yes,Fiber optic,No,No,Yes,Yes,Two year,Bank transfer (automatic),No
Female,0,Yes,No,69,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Female,0,No,No,69,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Male,0,Yes,No,40,Yes,DSL,No,No,No,No,Month-to-month,Mailed check,No
Male,0,No,No,60,No,DSL,Yes,Yes,No,No,Two year,Bank transfer (automatic),No
Female,0,No,No,4,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),Yes
Female,1,No,No,71,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Mailed check,No
Female,0,Yes,No,37,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),Yes
Male,0,Yes,No,32,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Credit card (automatic),No
Male,0,No,No,39,Yes,DSL,No,No,No,No,Two year,Credit card (automatic),No
Female,0,No,No,38,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,No
Male,0,No,No,52,Yes,Fiber optic,No,Yes,No,Yes,Two year,Credit card (automatic),No
Female,0,Yes,Yes,48,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Credit card (automatic),No
Male,0,Yes,Yes,70,No,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Male,0,No,No,20,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),No
Female,0,No,No,50,Yes,DSL,Yes,Yes,Yes,Yes,One year,Credit card (automatic),No
Female,0,No,No,19,No,DSL,No,No,Yes,Yes,One year,Credit card (automatic),Yes
Male,0,Yes,Yes,25,Yes,DSL,Yes,Yes,No,No,One year,Bank transfer (automatic),No
Male,0,No,No,12,Yes,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,1,Yes,No,39,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,No,No,7,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Mailed check,Yes
Female,0,Yes,Yes,23,Yes,DSL,Yes,Yes,No,No,One year,Mailed check,No
Male,0,No,No,27,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,No
Male,1,No,No,47,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Credit card (automatic),No
Male,0,Yes,Yes,26,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Female,0,Yes,No,14,Yes,DSL,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),Yes
